Date, Close/Last, Volume, Open, High, Low
11/21/2019, $262.01, 30348780, $263.69, $264.005, $261.18
11/20/2019, $263.19, 26609920, $265.54, $266.083, $260.4
11/19/2019, $266.29, 19069600, $267.9, $268, $265.3926
11/18/2019, $267.1, 21700900, $265.8, $267.43, $264.23
11/15/2019, $265.76, 25093670, $263.68, $265.78, $263.01
11/14/2019, $262.64, 22395560, $263.75, $264.88, $262.1
11/13/2019, $264.47, 25817590, $261.13, $264.78, $261.07
11/12/2019, $261.96, 21847230, $261.55, $262.79, $260.92
11/11/2019, $262.2, 20507460, $258.3, $262.47, $258.28
11/08/2019, $260.14, 17520500, $258.69, $260.44, $256.85
11/07/2019, $259.43, 23735080, $258.74, $260.35, $258.11
11/06/2019, $257.24, 18966120, $256.77, $257.49, $255.365
11/05/2019, $257.13, 19974430, $257.05, $258.19, $256.32
11/04/2019, $257.5, 25817950, $257.33, $257.845, $255.38
11/01/2019, $255.82, 37781330, $249.54, $255.93, $249.16
10/31/2019, $248.76, 34790520, $247.24, $249.17, $237.26
10/30/2019, $243.26, 31130520, $244.76, $245.3, $241.21
10/29/2019, $243.29, 35709870, $248.97, $249.75, $242.57
10/28/2019, $249.05, 24143240, $247.42, $249.25, $246.72
10/25/2019, $246.58, 18369300, $243.16, $246.73, $242.88
10/24/2019, $243.58, 17916260, $244.51, $244.8, $241.805
10/23/2019, $243.18, 19932550, $242.1, $243.24, $241.22
10/22/2019, $239.96, 22684000, $241.16, $242.2, $239.6218
10/21/2019, $240.51, 22367480, $237.52, $240.99, $237.32
10/18/2019, $236.41, 24377170, $234.59, $237.58, $234.29
10/17/2019, $235.28, 17272900, $235.09, $236.15, $233.52
10/16/2019, $234.37, 19286690, $233.37, $235.24, $233.2
10/15/2019, $235.32, 23040480, $236.39, $237.65, $234.88
10/14/2019, $235.87, 24413480, $234.9, $238.1342, $234.6701
10/11/2019, $236.21, 41990210, $232.95, $237.64, $232.3075
10/10/2019, $230.09, 28962980, $227.93, $230.44, $227.3
10/09/2019, $227.03, 19029420, $227.03, $227.79, $225.64
10/08/2019, $224.4, 29282700, $225.82, $228.06, $224.33
10/07/2019, $227.06, 30889270, $226.27, $229.93, $225.84
10/04/2019, $227.01, 34755550, $225.64, $227.49, $223.89
10/03/2019, $220.82, 30352690, $218.43, $220.96, $215.132
10/02/2019, $218.96, 35767260, $223.06, $223.58, $217.93
10/01/2019, $224.59, 36187160, $225.07, $228.22, $224.2
09/30/2019, $223.97, 26318580, $220.9, $224.58, $220.79
09/27/2019, $218.82, 25361290, $220.54, $220.96, $217.2814
09/26/2019, $219.89, 19088310, $220, $220.94, $218.83
09/25/2019, $221.03, 22481010, $218.55, $221.5, $217.1402
09/24/2019, $217.68, 31434370, $221.03, $222.49, $217.19
09/23/2019, $218.72, 19419650, $218.95, $219.84, $217.65
09/20/2019, $217.73, 57977090, $221.38, $222.56, $217.473
09/19/2019, $220.96, 22187880, $222.01, $223.76, $220.37
09/18/2019, $222.77, 25643090, $221.06, $222.85, $219.44
